Company,Job Title,Job Type,Experience level,Company_requirement,Facilities,Salary (USD),Job Format,country,Domain
PitchBook Data,Sr. Quantitative Research Analyst,Full Time,Senior-level,"Data analysis,DataOps,Economics,Engineering,Excel,Finance","401(k) matching,Career development,Equity,Flex hours,Flex vacation",111000.0,In location,United States,Data Analyst
Brightspeed,Data Analyst,Full Time,Senior-level,"CX,Excel,Mathematics,Oracle,Power BI,Privacy","Competitive pay,Equity,Flex vacation,Health care,Wellness",92000.0,In location,United States,Data Analyst
PA Consulting,Senior Data Manager,Full Time,Senior-level,"Big Data,Business Intelligence,Data analysis,EDA,Excel,Machine Learning",Not specified,77000.0,In location,United Kingdom,Big Data
Dropbox,"Staff Infrastructure Software Engineer, ML Platform",Full Time,Senior-level,"AWS,Computer Science,Docker,Engineering,Kubeflow,Kubernetes",Not specified,62000.0,Remote,Canada,Machine Learning
Verisk,Data Engineer (AWS),Full Time,Senior-level,"Agile,Architecture,Athena,AWS,Big Data,Data governance","Career development,Equity,Insurance,Startup environment,Team events",115000.0,In location,Canada,Big Data
Veeva Systems,Data Engineer - Veeva Link,Full Time,Senior-level,"Agile,AWS,CI/CD,Data pipelines,DevOps,Engineering","Career development,Fitness / gym",115000.0,In location,Portugal,Data Engineer
Extreme Networks,Senior Data Engineer (8307),Full Time,Senior-level,"Architecture,AWS,Azure,Big Data,Computer Science,Data pipelines","Career development,Startup environment",115000.0,In location,Ireland,Big Data
Enpal B.V.,(Mid level) Business Intelligence Analyst SCM (f/m/x),Full Time,Mid-level,"AWS,Azure,BigQuery,Business Intelligence,Data analysis,Data quality","Home office stipend,Startup environment,Team events,Yoga",51000.0,In location,Germany,Data Analyst
CleverConnect,Data Analyst - Stage de fin d'études - Paris 2e (H/F),Full Time,Entry-level,"Agile,Architecture,AWS,BigQuery,Dataflow,Data visualization","Career development,Yoga",48000.0,In location,France,Data Analyst
People Can Fly,Senior AI Programmer,Full Time,Senior-level,"Architecture,Computer Science,Engineering,Jira,Mathematics,Physics","Career development,Competitive pay,Fitness / gym,Flex hours,Flex vacation",62000.0,In location,Canada,Artificial Intelligence
Bosch Group,AI Research Scientist  Perception and Machine Learning,Full Time,Senior-level,"3D Reconstruction,Autonomous Driving,Big Data,Circuit Design,Computer Science,Computer Vision","401(k) matching,Career development,Conferences,Flex hours,Flex vacation",150000.0,In location,United States,Artificial Intelligence
Publicis Groupe,Data Engineer 2,Full Time,Senior-level,"Agile,APIs,Azure,CI/CD,Computer Science,Databricks","Career development,Competitive pay,Flex vacation,Health care,Startup environment",55000.0,In location,India,Data Engineer
"Flagship Pioneering, Inc.","Scientist/Sr. Scientist, Computational Biology",Full Time,Senior-level,"Biology,Data analysis,Engineering,Genetics,Industrial,PhD","Flex hours,Startup environment",62000.0,In location,United Kingdom,Data Analyst
PA Consulting,Data Scientist Consultant,Full Time,Executive-level,"Big Data,Business Intelligence,Computer Science,Excel,Machine Learning,Mathematics","Health care,Insurance,Medical leave,Salary bonus",92000.0,In location,United Kingdom,Data Science
Publicis Groupe,"Manager, Data Engineering",Full Time,Mid-level,"APIs,Avro,AWS,Azure,Computer Science,Data management","Career development,Health care,Startup environment",81000.0,In location,United States,Data Science
KPMG Australia,Consultant | Data Analyst | KPMG Futures,Full Time,Entry-level,"Azure,Computer Science,Data Analytics,Data quality,Data visualization,Engineering","Career development,Equity,Flex hours,Health care,Parental leave",48000.0,In location,Australia,Data Analyst
Visa,Data Scientist,Full Time,Senior-level,"Computer Science,Economics,Excel,PhD,Predictive modeling,Python","Equity,Health care,Insurance,Salary bonus,Wellness",129000.0,In location,United States,Data Science
Bosch Group,Research Scientist  AI-based Planning for Autonomous Systems,Full Time,Senior-level,"AWS,Azure,Big Data,Circuit Design,Computer Science,Computer Vision","401(k) matching,Career development,Flex hours,Flex vacation,Health care",150000.0,In location,United States,Artificial Intelligence
Publicis Groupe,Data Architect,Full Time,Senior-level,"APIs,Excel,KPIs,MySQL,Python,R",Not specified,135000.0,In location,Costa Rica,"DATA ARCHITECT APIS,EXCEL,KPIS,MYSQL,PYTHON,R"
Nets,Financial Data Analyst (m/f/d),Full Time,Senior-level,"Banking,Economics,Finance,Power BI,Statistics","Flex hours,Gear",92000.0,In location,Denmark,Data Analyst
NielsenIQ,"Analyst - Organizational Effectiveness (Data Management & Modelling, M&A)",Full Time,Senior-level,"Business Intelligence,Data analysis,Data Analytics,Data management,Data visualization,Genetics",Startup environment,69000.0,In location,United States,Data Analyst
Version 1,Data Architect - Talent Pipeline,Full Time,Senior-level,"Architecture,Athena,AWS,Azure,Consulting,Data Analytics","Career development,Health care",135000.0,Remote,United Kingdom,Data Analyst
PA Consulting,Senior Data Analyst,Full Time,Senior-level,"Big Data,Business Intelligence,Data analysis,EDA,Excel,Machine Learning",Not specified,92000.0,In location,United Kingdom,Big Data
Experian,Data Analytics Hub Manager,Full Time,Senior-level,"APIs,AWS,Data analysis,Data Analytics,Data quality,Excel","Flex hours,Flex vacation,Medical leave,Salary bonus,Team events",69000.0,In location,Costa Rica,Data Analyst
Verisk,Senior Data Analyst,Full Time,Senior-level,"Big Data,Data Analytics,Data governance,Data management,Data quality,Finance","Health care,Insurance,Team events",92000.0,In location,Poland,Big Data
Publicis Groupe,"Manager, Business Intelligence",Full Time,Senior-level,"Architecture,Business Intelligence,Data analysis,Data governance,Data visualization,ETL",Not specified,69000.0,In location,United States,Data Analyst
Adtalem Global Education,"Senior Data Analyst, Marketing & Enrollment - Hybrid",Full Time,Senior-level,"BigQuery,Business Intelligence,Data governance,Data visualization,Engineering,Finance","401(k) matching,Career development,Competitive pay,Flex hours,Flex vacation",51000.0,In location,Not exists,Data Analyst
Groupe Hospitalier Paris Saint Joseph,Architecte DATA - Décisionnel et Entrepôt Données Santé - Data Architect,Full Time,Senior-level,"Agile,Architecture,Big Data,Business Intelligence,Data warehouse,Deep Learning",Not specified,135000.0,In location,France,Big Data
eWave,"Middle Product Manager (Data Analysis, Fintech)",Full Time,Not specified,"Agile,Data analysis,Data governance,Data management,Data quality,Engineering",Not specified,50000.0,In location,Australia,Data Analyst
Publicis Groupe,"Director, Data Science",Full Time,Executive-level,"Architecture,Bayesian,Big Data,Data Analytics,Data management,Data Mining","Career development,Health care",130000.0,In location,United States,Data Science
Palo Alto Networks,Principal Machine Learning Engineer,Full Time,Senior-level,"Computer Science,Data Analytics,Deep Learning,Engineering,LLMs,Machine Learning","Career development,Health care,Medical leave,Salary bonus",140000.0,In location,United States,Data Analyst
CGG,Imaging Geophysicist - CDI permanent contract,Full Time,Entry-level,"Data analysis,Engineering,Excel,HPC,Mathematics,PhD","Career development,Conferences,Health care,Salary bonus",39000.0,In location,France,Data Analyst
Cermati.com,Junior Business Intelligence Analyst,Full Time,Entry-level,"Big Data,BigQuery,Business Intelligence,Computer Science,Excel,JavaScript",Not specified,35000.0,In location,Indonesia,Big Data
Publicis Groupe,Lead Data Analyst,Full Time,Senior-level,"Agile,Airflow,Big Data,BigQuery,Business Intelligence,Computer Science",Not specified,55000.0,In location,India,Big Data
"CoEnterprise, LLC","Senior Technical Integration Consultant- MFT, Migrations, ETL Experience- US Based Remote",Full Time,Senior-level,"APIs,Architecture,Azure,Business Analytics,Consulting,DB2","Career development,Health care,Team events",62000.0,Remote,United States,"SENIOR TECHNICAL INTEGRATION CONSULTANT- MFT, MIGRATIONS, ETL EXPERIENCE- US BASED REMOTE APIS,ARCHITECTURE,AZURE,BUSINESS ANALYTICS,CONSULTING,DB2"
Agoda,"Senior Data Analyst (Flights team, Bangkok-based, Relocation provided)",Full Time,Senior-level,"A/B testing,Computer Science,Consulting,Data analysis,Data visualization,E-commerce","Career development,Relocation support,Startup environment",92000.0,In location,Thailand,Data Analyst
PlayStation Global,Machine Learning Engineer,Full Time,Senior-level,"AWS,CUDA,Docker,Git,GitHub,GitLab",Career development,131000.0,In location,Germany,Machine Learning
605,"Data Engineer, Operations (AdScribe)",Full Time,Mid-level,"Agile,Airflow,AWS,Databricks,DataOps,Data pipelines","Career development,Competitive pay",73000.0,In location,Ireland,Data Engineer
Agoda,"Lead BI Analyst (Supply Analytics, Bangkok-based)",Full Time,Senior-level,"A/B testing,Business Intelligence,Computer Science,Consulting,E-commerce,Economics","Career development,Relocation support",48000.0,In location,Thailand,Business Intelligence
